import time: self [us] | cumulative | imported package
import time:       355 |        355 |   _io
import time:        94 |         94 |   marshal
import time:       460 |        460 |   posix
import time:       561 |       1469 | _frozen_importlib_external
import time:       445 |        445 |   time
import time:       156 |        601 | zipimport
import time:        59 |         59 |     _codecs
import time:       661 |        719 |   codecs
import time:      1106 |       1106 |   encodings.aliases
import time:      2162 |       3986 | encodings
import time:       336 |        336 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        28 |         28 |     _abc
import time:        96 |        124 |   abc
import time:       119 |        242 | io
import time:        43 |         43 |       _stat
import time:        56 |         99 |     stat
import time:       727 |        727 |     _collections_abc
import time:        83 |         83 |       errno
import time:       129 |        129 |       genericpath
import time:       165 |        377 |     posixpath
import time:       463 |       1664 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       378 |        378 |   encodings.utf_8_sig
import time:       600 |        600 |     __future__
import time:       486 |        486 |       importlib
import time:        64 |        550 |     importlib.machinery
import time:       434 |        434 |       importlib._abc
import time:       523 |        523 |       types
import time:       111 |       1067 |     importlib.util
import time:        89 |         89 |     itertools
import time:       331 |        331 |             keyword
import time:       205 |        205 |               _operator
import time:       405 |        610 |             operator
import time:       377 |        377 |             reprlib
import time:        32 |         32 |             _collections
import time:      1265 |       2613 |           collections
import time:        42 |         42 |           _functools
import time:       675 |       3329 |         functools
import time:       654 |        654 |           contextlib
import time:      1158 |       1158 |             enum
import time:       230 |        230 |               _sre
import time:       407 |        407 |                 re._constants
import time:       541 |        947 |               re._parser
import time:       294 |        294 |               re._casefix
import time:       579 |       2049 |             re._compiler
import time:       327 |        327 |             copyreg
import time:       941 |       4474 |           re
import time:       377 |        377 |           fnmatch
import time:       684 |       6187 |         glob
import time:       635 |      10151 |       pathlib._abc
import time:        48 |         48 |           _winapi
import time:        25 |         25 |           nt
import time:        20 |         20 |           nt
import time:        19 |         19 |           nt
import time:        17 |         17 |           nt
import time:        17 |         17 |           nt
import time:        17 |         17 |           nt
import time:        16 |         16 |           nt
import time:       205 |        382 |         ntpath
import time:       525 |        525 |         warnings
import time:        23 |         23 |         pwd
import time:      1171 |       1171 |         grp
import time:       647 |       2747 |       pathlib._local
import time:       582 |      13479 |     pathlib
import time:      1553 |      17337 |   __editable___llm_bakeoff_2_0_0_finder
import time:       357 |        357 |   __editable___vllm_swift_0_2_0_finder
import time:       536 |        536 |   _distutils_hack
import time:       227 |        227 |   sitecustomize
import time:        38 |         38 |   usercustomize
import time:      6072 |      26674 | site
import time:       844 |        844 | linecache
import time:        98 |         98 |   src
import time:       791 |        791 |     _weakrefset
import time:       866 |       1657 |   threading
import time:        65 |         65 |   flask
import time:      2964 |       4782 | src.styleai_server
import time:      1120 |       1120 |   textwrap
import time:       530 |        530 |   _colorize
import time:      1092 |       2741 | traceback
import time:       776 |        776 |   token
import time:        26 |         26 |   _tokenize
import time:       991 |       1792 | tokenize
Traceback (most recent call last):
import time:        39 |         39 |   _ast
import time:      1366 |       1405 | ast
  File "<string>", line 1, in <module>
    import src.styleai_server
  File "/Users/anna/Documents/Coding/StyleAI/server/src/styleai_server.py", line 5, in <module>
    from flask import Flask, jsonify, request
ModuleNotFoundError: No module named 'flask'
